Title|Year|Plot
BuÃuel en MÃxico|2001|In offering the possibility for exile to the Spanish film maker Luis BuÃuel, Mexico welcomed not only a distinguished guest but also an artist who contributed to the transformation of Mexican cinema. This program presents the experiences and creations that this important film maker gave and at the same time received from Mexico, his adopted homeland. 
By Any Means|2013|Having seen crooked businessman Nicholas Mason acquitted of a factory robbery and murder of employee Anthony Cummings, due to a legal loop-hole, enigmatic Helen Barlow calls in Jack Quinn, leader of a trio of maverick crime-busters along with locks expert Jessica Jones and computer wizard Thomas Tomkins to bring Mason down. Raymond Nash, who testified against Mason, is in a safe house and Helen believes one of two policemen is on Mason's payroll. Jack targets ex-cop Charlie O'Brien who apparently contacted armed robber Michael Craig to work on Mason's next hit whilst the team learn that Mason is seeing psychiatrist Paul Hollander for anger management. They trade on this by leading Mason to believe that his much younger wife Karen is having an affair with Nash and rely on Mason's vengeful temperament setting out to kill Nash, as well as introducing their own armed robber into Mason's next heist. 
By George|2013|By George, come see the world in new exciting ways! Did you know there's over 200 free parks and family-friendly events in Central Virginia? Come along with George and his friends as they hit the swings. You'll learn which are the best for play grounds, hiking, nature-watching, rappelling, riding bikes, and more - including the hidden gems some parks hold! By George will also give tips and fun things to do on days inside and will feature an "I'm Not Afraid" segment that will empower you in what may typically be scary situations/places. Join the fun as we explore new places through the eyes of a fearless toddler. 
By Night|2016|In the grand tradition of "Alfred Hitchcock Presents "and Rod Serling's "Twilight Zone", BY NIGHT is a mystery/thriller anthology series for a modern generation. Each short episode journeys into the unknown with tales of the paranormal and horrors of the human condition revealing that everything has a dark side. 
By Way of the Stars|1992|Spring, 1865. The last spring in the childhood of Lukas Bienmann. Nothing forebodes the calamities about to befall the 13-year-old boy and his family in the peaceful town of Liebenberg, Prussia. Nature awakens to new life, and Lukas is happy, for his mother is about to give birth to her second child, and Lukas' grandfather, Brunneck, is coming from Canada for the event. Brunneck, however, brings only discord to the family. Though Lukas is excited by his grandfather's plans to take the family back with him to Canada, his father Karl will hear none of this. Tempers flare and Lukas' mother, deeply troubled and frightened, goes into early labor - and dies. Brunneck blames Karl, and demands to take Lukas with him. Bewildered, Lukas flees into the night. Lukas accidentally witnesses an altercation between a local nobleman, Count Otto von Lebrecht, and a gambling partner to whom he owes money. When Otto kills the man in a rage, Lukas tries to flee, but is caught by the murderer. Otto threatens to kill him and his father should he ever talk... Otto, who has stolen some valuable jewels, lays the blame on Lukas' father Karl. Fearful of Otto's threats, Lukas is unable to defend his father, even though he knows that Otto committed the theft. After Karl is sent to jail, Lukas is taken into the home of the benevolent Baron von Knabig. The Baron places the boy in the custody of his wife's brother - who turns out to be none other than Otto von Lebrecht! Though Lukas' future looks bleak, he soon wins the confidence of the Baron and his wife: one day, Al-Jamil, the magnificent stallion the Baron has bought for his daughter Ursula, is whipped into a panic by Count Otto. Lukas leaps into the paddock to calm the animal and prevent it from injuring anyone. Impressed, the Baron entrusts Al-Jamil to the boy's care. Though Ursula, fifteen, is not allowed to ride Al-Jamil yet, she disobeys her father and is nearly trampled by the frisky stallion. Lukas rescues her, and is rewarded by being allowed to visit his father in prison. Otto, however, foils the meeting, just as he has been preventing the Baroness' letters from reaching Brunneck in Canada, ensuring that the boy's grandfather cannot come to his aid. Unable to pawn the stolen jewels, Otto plots to kidnap and sell Al-Jamil, and to dispose of Lukas in the process. Otto puts a wrench in his own plans, however, for he causes an accident in which the horse is seriously injured. The Baron wants to have the horse killed, but Lukas begs him to let him nurse Al-Jamil to health. Ursula, won over by Lukas' energetic nature, finally brings her father to yield. Al-Jamil's recovery helps seal Lukas' friendship with Ursula. As Otto's threats become more menacing, Lukas plans a daring escape for himself and his father. To this effect, he enlists the help of an old peddlar and trusted friend, Nathan. Though they succeed in freeing Karl from prison, the operation runs into a snag when Otto's henchmen capture Lukas. While Karl heads off to America alone, Lukas frees himself and gallops to Danzig on Al-Jamil. He sneaks onto a ship headed for America, hoping to find his father there. Little does he know who else is on board: Ursula, the Baroness - and Count Otto. Lukas is discovered and faces punishment as a stowaway. Sensing that the boy is troubled, the Baroness takes him aside. Lukas pours out his heart and reveals the truth about Otto... Determined to clear Karl's name and save Lukas from punishment, the Baroness confronts Otto, who confesses. Before she can bring the truth to light, however, tragedy strikes: smallpox breaks out among the passengers, and she succumbs to the disease while caring for the sick. Meanwhile, Karl arrives in the American South, where he is hired by a northern lumber company to take a shipment of wood north. He and his companions Virgil and six-year-old Tomorrow, ex-slaves, are being followed by Tully, a Southerner bent on destroying the lumber dealer. One night, Tully sets fire to the depot where Karl and the others are sleeping. A fight ensues, and Tully is engulfed by the flames. Karl tries to save Tomorrow, but is too late: the boy dies in his arms. Shattered by her mother's death, Ursula resolves to help Lukas now that she knows about her uncle's murderous past. As the ship anchors in New York, the children violate the quarantine and jump ship, with Otto fast behind them. They elude Otto, but fall into the hands of two con men, who take them to Lower Canada, where they plan to ransom Ursula and kill Lukas. But Lukas discovers their plan, frees Ursula, and they escape down river in a canoe. Their troubles are far from over, however, for the quiet, tranquil river soon gives way to churning, foaming rapids. The children lose control of the canoe, which overturns, submerging them. Lukas dives after Ursula, pulls her to the surface, and drags her to the shore. Exhausted after their ordeal, the youngsters now find themselves alone on land best avoided by white people: Indian territory. Lost in the wilderness, Lukas and Ursula decide to head for Brunneck's house in Niagara. But disaster strikes again when a bear attacks and mauls Lukas. Ursula's screams alert some nearby Indians, who shoot the bear as it is about to kill Lukas. The children are taken to the Indians' camp, where Lukas comes under the care of a medicine man. Karl makes it to Niagara, where he begs his father-in-law to send for Lukas. Brunneck agrees, however, only on the condition that he be given responsibility for Lukas' upbringing. With his son's well-being at heart, Karl accepts Brunneck's terms and leaves. But when Brunneck learns the children's whereabouts and Lukas arrives in Niagara, Brunneck tells him that his father has left him in his care, implying that Karl no longer wants him... Thunderstruck, Lukas turns his back on Brunneck. He and Ursula set out by rail for the West. The train nearly turns into a death trap, however, when they run into Otto. With their lives at stake, they jump from the train and continue their journey on foot. The weary pair is picked up by a wagon train, and befriended by Renauld and FranÃoise Broissard. Ursula, meanwhile, catches the eye of a good-looking railroad surveyor named Ben. Lukas and Ursula soon realize how dangerous pioneer life can be when a messenger warns them of approaching hostile Sioux warriors. Fearing the worst, FranÃoise sends a message to Brunneck. Lukas believes that he can talk sense into the Indians and, disobeying Ben's orders, impulsively sets off on horseback to find them. Ben catches Lukas and berates him, but their argument comes to a sudden end when the Sioux appear on a nearby ridge... Blood-curdling cries announce the Sioux' charge. When Ben is injured, Lukas grabs his fallen comrade's weapon and joins actively in the skirmish. His enthusiasm for the battle vanishes, however, when he suddenly faces a knife-wielding Sioux youth and kills the boy in self-defense. The settlers manage to drive away the Indians, but Lukas cannot overcome the shock of having taken a person's life. Brunneck, who has gotten FranÃoise's message, swallows his pride and asks Karl to go look for the children with him. A short time later, Baron von Knabig also arrives in Niagara and sets out for Fort Garry as well. At Fort Garry, Lukas is moved by the plight of a pregnant young Cree woman, White Feather, who is being mistreated by her white husband Sam. Unable to take the life-threatening abuse of the young woman any longer, Lukas decides to smuggle her out of the fort and back to her tribe. Though Ursula tries to talk him out of it, nothing can deter him. The escape goes like clockwork. But just before the pair can reach the Cree camp, the girl goes into labor, giving birth to a baby boy. Suddenly, Sam appears, filled with a murderous desire for revenge. Fortunately, a Cree hunting party disarms him. Though White Feather is saved, Lukas makes an unpleasant discovery: the Cree are accompanied by two Sioux warriors who attacked the wagon train - and who also recognize Lukas... Lukas is brought to the Cree camp, where the Sioux demand his life. But the Cree Chief, grateful to the boy for having saved White Feather, gives Lukas a pony and orders Black Hawk to escort him to Fort Garry. On the way, Black Hawk forces Lukas into a perilous race. But when the boy holds his own, a bond begins to develop between the two - a bond which is cemented when Lukas saves his companion's life in an Indian attack. Brunneck and Karl have been robbed by a trapper and abandoned in the wilderness. When a wildfire breaks out, the two men finally reconcile their differences and fight to save their lives. Close to exhaustion, they are saved by none other than Baron von Knabig and a wagon train headed for Fort Garry. The Baron is reunited with Ursula, but his companions set off with Black Hawk, who was forced to leave his friend Lukas behind in the Indian attack. Count Otto is also out West. He has taken on the identity of Clayton Pyle, who was on his way to claim half a gold mine he inherited with an aunt he never met. The injured Lukas comes across the prospector Annie Pyle, who takes him to her gold mine. Lukas' blood freezes when he meets "Clayton". Otto shoots, causing a cave-in, from which they barely manage to escape. Undaunted, Otto again goes after Lukas and tries to drown him, but just before he can do so, Black Hawk comes galloping to the rescue and kills him. Ursula, who is in love with Ben, is afraid that her father will take her back to Prussia. But the Baron, much to her surprise, agrees to cancel the marriage he had planned for her and gives the couple his blessing. Karl and Brunneck are overwhelmed with joy when they spot Lukas approaching with Black Hawk. After so many trials and tribulations, the family is finally reunited once again. 
By the Book|2012|'By the Book' follows a Buffalo Police organized crime task force as it takes down a dangerous crime family led by Big Sal. After 18 months of building their case, Sgt. PJ Rafferty (Andre Colon) is ready to lead his men (and women) into a raid to capture him. What they didn't expect was for Big Sal to come home late. Now they are stuck on a stakeout of epic boredness as they lay in wait. Rafferty is tasked with keeping his crimebusters Callahan (Will Mutka) and Grayden (Juston Graber) and his fierce femme fatales Ives (Angel Izard) and Hanna (Arlynn Knauff) alert, on point... and sober. 
By the Rapids|2008|BY THE RAPIDS is a primetime-animated comedy that takes a satirical look at what happens when a thoroughly urban and pampered family relocates from Toronto to the rural Aboriginal community where the successful lawyer parents were born and raised. Despite the parents' roots in By The Rapids, the family has still found it tough to reintegrate themselves back into the community without sticking out like sore thumbs. With the help of Grandma Hazel, Cousin Karen, Uncle Regis and Karen's boyfriend Derek, their adjustments to life in the community of By The Rapids will be a bit smoother - or so they think. Without lattes, pilates or a decent internet connection, the urbane Littlehorns find plenty wrong with By The Rapids but are hell bent on bringing some of their cosmopolitan sophistication to the community. 
By the Sword Divided|1983|Story of the English Civil War as seen through the eyes of two families; the Laceys, loyal to King Charles I, and the Fletchers, loyal to Oliver Cromwell. 
Bydysten|1995|Huge live show in which the inhabitants of various towns, competed against each other for fame, fortune and a spot in the national finals. Competitions ranged from the towns trying to gather certain amounts of specific items in time, to having their local national guard looking for clues in the woods or their emergency units and divers searching for hidden treasures in the harbour. All the events in the two towns, with one reporting co-host in each, were linked together with the studio and the two main hosts, into one huge all-night gameshow. 
Bye Felicia|2014|Women who are in dire need of direction and assistance becoming who they are truly deep inside. Missy transforms their physical looks while Deborah helps them search inside for their inner beauty. Sometimes even against their will, heck they don't even know they need it! Say hello to your new self and goodbye to the old. Bye Felicia! 
Byeoleul ssoda|2002|Film star Jeon Do-Yeon (Untold Scandal, Lovers in Prague) stars as So-Ra, a hot-tempered 29 year-old woman who has no job or academic pedigree. So-Ra's life changes when she meets Sung-Tae (Jo In-Sung, Spring Days, Something Happened in Bali), an illiterate orphan on an impossible quest to become a movie star. Sung-Tae impresses So-Ra's brother Ba-Dah (Park Sang-Myun, All In), a compassionate talent manager who is head over heals in love with the deceptively innocent Yae-Rin (Hong Eun-Hee, My Love Patzzi). Yae-Rin will do anything to advance her acting career, and the overly ambitious Do-Hun (Lee Seo-Jin, Damo, Phoenix) is there to help. YA Entertainment is proud to present this heart-warming and universally appealing 16-episode Korean TV drama that will have you wanting to Shoot for the Stars! 
Byeoljubu hero|2001|This story is loosely based on the traditional Korean story of the Turtle and the Rabbit. In that story, the sea king is dying and it is determined that only by eating a rabbit's liver will he survive. The turtle is sent to trick the rabbit into accompanying him to his undersea kingdom where the rabbit must use his wits to survive. Well, needless to say, there is no threat to the rabbit's liver in this cutesy-fied version that is targeted at a very young audience. Here the undersea kingdom is threatened by a band of evil, but rarely frightening, sharks. 
Byeoreul Ttada Jwo|2010|The drama draws a love story between two co-workers at an insurance company, with Kim Ji Hoon playing the company's whip-smart lawyer. Because he carries the hurt of having been abandoned by his birth mother, he doesn't easily open his heart to others. Jin Pal Kang (Choi Jung Won) is a 25-year-old employee of the company who becomes responsible for her five younger adopted siblings after her parents meet with sudden deaths. 
Byker Grove|1989|Karen is sacked from the salon. Later that night she breaks in and sets the salon ablaze. Ollie is an outcast at the Grove but gets an e.mail from Trooper John who turns out to be Emma, a girl with a crush on Ollie. Emma is blamed for a computer virus and banned from the Grove. 
Byla tebe lyubimaya|2011|Pavel Gromov is the first mate on a Russian scientific ship. Pavel"s pregnant girlfriend Lena is sailing with him. The young people plan to get married after the expedition. It turns out that Pavel's friend Gleb who is a chief engineer on the same ship has been hopelessly in love with Lena. During the expedition Somalian pirates attack the ship. Gleb decides to take a chance and get rid off his rival. He shoots Pavel in his back and throws his body overboard... Mourning Pavel Lena has to fix up her life and the life of her yet unborn child. Gleb proposes to Lena who says yes reluctantly. A year later we find out that Pavel who was captivated by the pirates survived by a happy chance and came back to his motherland... 
Byline|1988|Singer/songwriter Kirsty MacColl voices her concerns about water pollution in Britain and especially the standards of drinking water. She traces the route of her water supply back to its source the River Thames, and at Morecambe learns of the risks for children playing on the sea shore, radioactivity in the water, and also the potential for reed beds helping with a clean water supply. 
Byomkesh Bakshi|1993|In agnivaan, a family witnesses mysterious death and no method of murder is found. Unless there is a confirmation on the method of kills motive cannot be deduced clearly. Byomkesh with his friend Ajit uncover the motive and solve this intriguing mystery. The professor, his wife and his kids are in the middle of the killing spree. 
Bystander Revolution|2014|What are the universal warning signs in every student who commits a mass shooting? What simple actions stopped people who considered committing acts of violence? Insights from the leading expert on the prediction and management of violence. 
Byte Me|2018|For aspiring journalist Emily Robinson, life has not gone exactly as planned. Her career is stagnant, her income virtually nonexistent, and her dating life disastrous. So, when the opportunity arises for her to take a position as a dating and relationship columnist at a local magazine, she takes it-despite the fact that she has absolutely no interest in being a dating and relationship writer and taking the job means working with a man she despises. As it turns out, however, both the job and the man are infinitely more interesting than expected. 
Byutipul Maindeu|2016|The Story of Genius Neurosurgeon (Lee Young Oh) with an impeccable skills and abilities, but is Incapable of having any feeling and sympathy for his patients , due to an injury in frontal lobe . When a series of unusual deaths occur at the hospital , Detective (Gye Jin-Sung ) starts investigation around Young Oh , who fall in love with her. The series in based on Mary Shelley's Novel "Frankenstein". 
Byvshaya zhena|2013|The squad becomes a victim of imposters, who seize goods from men who owe their wives alimony using violence if necessary. Yet, the imposters give the stolen property to the wives, so their motive is unclear. Tension rises as the squad tries to find the person in their unit who is leaking information. Meanwhile, Danila celebrates his birthday, and Melnik invites her ex-husband to the party. 
Bâtendâ|2006|Situated in the Ginza district of Tokyo is the Eden Hall, a quiet bar that few people manage to come across. It is run by the legendary bartender Ryu Sasakura, a genius at mixing the right drink for the right customer. Throughout his period at Eden Hall, customers from all walks of life, carrying all sorts of burdens, arrive for a godly glass at the Hall and a kind word with Ryu, both of which assist in clearing their problems up and reviving them for another go at life. 
BÃliveau|2017|Symbole de rÃussite, le gentleman du hockey, vedette, homme d'affaires, mari et pÃre de famille Ãtait admirÃ et respectÃ de tous. Constamment sous pression, cette lÃgende du hockey dotÃe d'une force de caractÃre hors du commun a su se relever de nombreuses blessures. Entre 1950 et 1971, la sÃrie revisite les moments charniÃres de la carriÃre de ce hÃros national natif de Victoriaville : ses dÃbuts â¡ QuÃbec avec les Citadelles puis avec les As de QuÃbec, son rÃle de capitaine des Canadiens de MontrÃal et ses dix coupes Stanley. ConsidÃrÃ comme l'un des plus grands joueurs de hockey de l'Ãpoque, les jeunes cherchaient â¡ l'imiter sur la glace alors que les plus vieux y voyaient un modÃle de loyautÃ, de droiture et de rÃsilience duquel s'inspirer. 
BÃto ekkusu|1996|The story follows Teppei, a Caretaker of a farm located in Kamui Island. He visits His genius brother who studies Robotics in Germany only to see him get abducted by a group of half human half machine beings. Using a powerful weapon he calls the meisei fist. He attempts to hunt them down and rescue his brother. 
BÃthar go dtÃ an White House|2009|Charting the history of Irish-American politicians from the 1800's up to John F. Kennedy's election as the first, and only, Catholic president of the United States. The series, filmed in both Ireland and America, follows the rise of Irish-American political machines in cities like New York, Boston, Kansas City and Chicago. The six-part series uses dramatic reconstructions combined with contributions from award winning authors such as Robert Caro and Jack Beatty to tell the story of six unique and powerful Irish-American Politicians whose ancestors all came to America as impoverished Irish immigrants. The Irish were the first immigrant group in the US who seized upon politics as a means of making a living and they left an indelible mark on the American political landscape which stills resonates today. 
BÃnen no zamudo|2008|The flying humaform attacks the 'Zanbani' and Raigyo leaves Akiyuki to deal with it. Nakiami leaves the ship although Captain Ishu told her there was nothing to worry about. Nakiami convinces Akiyuki not to kill the humaform, but place a Ututu seed under its skin. He does but the humaform explodes. This is Nakiami's "dissasembling" but it didn't go as planned. She believes if she continues to study she could get a Ututu seed that would return a humaform to its original form and cure it. The Zanbani is not out of danger yet. There are more Northern ships. They attack with more humaforms. While smaller ones invade the ship, Akiyuki and Raigyo in Xam'd form fight off the flying ones. The ship is damaged and starts going down. Inside the ship, Ishu is destroying humaforms. Nakiami tries to make her stop, but the captain doesn't listen. Nakiami can hear the humaforms and their pain and it hurts her inside. The boy on the ship disappears and his mother looks for him. As a last resort the children hide in Madame Tenshin's room, deep in the ship. Nakiami gives them something that will protect them before she and the captain argue. Later, Ishu finds the humaform user controlling them. It is a young girl and she wants the two Xam'd. What will the captain do with her and what will happen to the failing ship? On the island as Haru joins the soldiers in the barracks, she asks the commander to watch over Midori. 
BËrÂ¸|2017|Turkey in the spring of 2014. A time when the enemies are growing on the border, the circle of danger inside is becoming narrower. The Republic of Turkey faces the greatest threats of recent history. BÃ·Râ¹ tells the story of heroic heroes who are touched by love. They are the last castle. 
BËyle mi olacakti|1997|The life story of three faithful schoolmates: Pervin, Gul and Ayse. As going through the struggles of life, they always back up each other. They are the three aces of a volleyball team, too. After being graduated, every year they meet at Naci Baba's (Father Naci) cafÃ for their anniversary. Each of them had their own life, they got married with short intervals. One has become a physician, the other one a famous artist and the other dropped out from school. The serial dealing with the stormy life story of these friends covers love, passion, hatred and friendship. It is a legendary story of three close friends who take the power from their solidarity and love enabling them to struggle with hope and disappointment. Briefly, it is the story of life itself. 
BËgÃpoppu fantomu: BËgÃpoppu wa warawanai|2000|A light in the sky, followed by a strange aura and grisly murders. Each character tells their own connection to the event and to a similar murder spree 5 years ago. All of the different stories are slowly tied together by seemingly minute similarities and the story of Boogiepop is unraveled. 
BÂ¸yÂ¸k SÂ¸rgÂ¸n Kafkasya|2015|Firat Sunel's the "Shadow of the Willow Bunch" and GÂ¸rsel Balci's "Border Secrets" is loosely adapted from the novel Great Banishment the Caucasus, Stalin's orders in 1944, which tells the tragic story of the deported Meskhetian Turks. Thousands of people exiled from the land where they live, unattended, tells the heartbreaking story of a forgotten people. 
C B Bears|1977|Saturday morning cartoon show that featured six recurring segments. "The CB Bears" segment follows Hustle, Boogie and Bump, three anthropomorphic bear detectives posing as garbagemen, who solve mysteries. The Wile E. Coyote and the Road Runner-esque "Blast-Off Buzzard" segment follows a buzzard in his attempts to catch a speedy snake called Crazylegs. "Heyyy, It's the King!" segment focuses on the high school adventures of slick King the lion and his schoolmates Big H the Hippopotamus, Clyde the Ape, Sheena the Lioness, Skids the Alligator, Yukayuka the Hyena and Zelda the Ostrich. "Posse Impossible" segment follows the bumbling adventures of the Sheriff of Saddlesore and his deputies Stick, Big Duke and Blubber, who always chase after various equally bumbling outlaws. "Shake, Rattle, and Roll" segment follows Shake, Rattle and Roll, three ghosts that operate a hotel for supernatural creatures and are frequently pursued by a ghostbuster called Sidney Merciless. "Undercover Elephant" segment follows an elephant secret agent and his fateful mouse sidekick Loudmouse who work for Central Control and use disguises to hide their identities and solve mysteries. 
C Students|2014|The students is a 20 minute episode of a YouTube series made by animated James.. It follows the adventures of a Dull pessimist named August, a girl crazy pervert named Kevin, and a smart girl named Penny,you never fits in with other girls. They go around school, making a friendship. 
C|2011|The Japanese government was rescued from the brink of financial collapse by the Sovereign Wealth Fund. For its citizens, however, life has not improved, and unemployment, crime, suicide, and despair are rampant. Kimimaro, raised by his maternal grandmother after the disappearance of his father and the death of his mother, is a scholarship student whose only dream is to avoid all this and live a stable life. One day, however, he meets a man who offers him a large sum of money if he'll agree to pay it back. From then on his fate is radically altered as he's drawn into a mysterious realm known as "The Financial District." 
C'est La Vie with Selah V!|2013|C'est la Vie with Selah V is a fitness talk show featuring conversations with celebrities and fitness stars about the latest and greatest in the workout world! Plus, host Selah V provides dozens of free workouts that you can combine to create your own playlist! Also check out Selah's recipe renovations and holiday segments! Learn tips on how to get and stay in the best shape of your life and choose the workout regimen that works for YOU on C'est la Vie with Selah V! 
C'est pas le bout du monde!|2004|The TV show follows Belgian peoples who decided to leave their native land to settle in another country for a couple of years or, maybe, a lifetime. It also follows Belgian companies which try to establish or already established industrial relationships with foreign countries. 
C's Get Degrees|2010|C's get Degrees follows the trials and tribulations of a house full of slackers. Cole the Rugby-head, Mike the fan-boy, Sebastian the metro-sexual and Hemi the ethnically-confused gangster bind together to grapple with life's important matters like dealing with an angry landlord, snapping Mike out of his 'Shatner Spell', tracking down the autograph of a 1980s sporting hero and finding out who has stolen their Christmas presents. Each 5 minute episode of this ground-breaking, ultra-low budget, so-bad-its-good web-com is laced with pop-culture references and in-jokes. A must watch for anyone that has dreamed of or frowned upon life as a slacker. 
C'Ã posta per te|2000|Hosted by Maria De Filippi, the show stars a certain person with a certain story, who decides to send a letter for a certain reason to a certain person. The latter is invited to the show and, when the sender is shown, he/she can decide whether to discuss with him/her or not. All of this takes place through a letter-shaped sÃparÃ, which vanishes only if the addressee decides to let the sender talk. 
C- Bar|2017|Dockie Barnett has settled back into ranch life after the destruction caused by, and final elimination of, the homicidal outlaw known as "Snake-Eyes." But this is short-lived when news of the prison escape of crazed outlaw, John Doherty, alias John Doe, reaches Dockie and sets him on the road to stop the outlaw before he takes revenge on the rancher and those close to him. The big question is what secret does Dockie and John Doe share? 
C-16: FBI|1997|Special Agent John Olansky is the leader of a maverick squad of FBI agents based in Los Angeles in this weekly series. C-16 is frequently criticized by the Bureau for not going "by the book", but because Olansky's loyal agents almost always get results, the squad is mostly left alone. 
C-47: Georgia Short Film Showcase|2007|Submissions are accepted from filmmakers throughout the state of Georgia, and the winning submission is played on the air. There are also interview segments as well as field segments dealing with issues concerning the film/television industry in Georgia. 
C-Bear and Jamal|1996|Jamal passes through his 10th birthday, and in the process of 'becoming a man', which is what this milestone means, he tries to give up childhood things, including C Bear, his teddy bear. C Bear and Jamal talk to each other, and C Bear can create imaginary scenarios for Jamal - he shows Jamal what adulthood can mean, and how passing 10 does not mean that all of childhood must be abandoned. 
C-Suite with Jeffrey Hayzlett|2013|"C-Suite with Jeffrey Hayzlett," is an original prime time series that features an inside look at companies that are shaping the global business landscape. In each week's 30-minute episode, Hayzlett, a contributing editor for Bloomberg Television and former c-suite executive who has led strategy on Wall Street and Main Street, spends time with the executive team of today's most recognized brands to discover what makes them tick. "C-Suite" profiles different business models, from big companies to insurgent start-ups that are disrupting their industry, offering new perspective on boardroom decision-making by top executives leading the way. 
C.A.|2006|C.A. is the weekly reunion of 4 friends (Maude, Sarah, Yannick and Jean-Michel) who graduate together of the Hautes â¦tudes Commerciales 10 years ago. This dramatic comedy of 30 minutes take us in the universe of these adults, mostly single, who try to find Love. 
C.A.K.E. The Series|2013|C.A.K.E. the Series is a web series created to promote a system of justice by educating what racism is and how it affects nonwhite people all over the world. We believe black entertainment can be constructive, witty and funny. Please share, subscribe and tell us what you think in the comment box. 
C.A.T.S. Eyes|1985|An all-female detective outfit, the "Eyes Enquiry Agency", is formed as a front for the Home Office's new security operation the Covert Activities Thames Section (or CATS for short). Initially led by ex-Oxford Union President Pru Standfast, she was followed by experienced ex-cop Maggie Forbes (who later led the section), computer genius Frederica "Fred" Smith and later Tessa Robinson. Their contact with the Ministry was Nigel Beaumont. The team dealt with a variety of crime from theft to blackmail, to espionage & terrorism. 
C.B.C.'s Magic Hour|1989|Shy Rebecca Pennington longs for excitement and romance in her life, and when she gets the lead role in her high school play she begins to think that those things just might be possible for her. She asks her cousin Tom to set her up with a "prince charming" from his school, but after her dream date is injured at basketball practice, she is greeted instead by Ralph, who initially seems to belong in the frog category. The night turns into one misadventure after another, leading Rebecca to believe that she is doomed to a life without love. But in the end, in true faerie tale style, she realizes that princes come in all sorts of packages. 
C.I.D.|1998|Nakul, ACP Pradyuman's son accuses him to kill his girlfriend in a night club. However, Abhijeet and Daya try to get big evidence to prove ACP Pradyuman not guilty. Menawhile, the media reporters gather at the C.I.D Bureau for a ton of questions. Later it is known that Nakul kidnapped ACP Pradyuman from the crime scene. The security guard helped him do it. The C.I.D team arrests Nakul's teammates while he is trying to illegal selling outisde India. ACP unable to stop his son Nakul from escaping, shots him 3 bullets but he(Nakul) escapes injures but he had to die sometime. 
C.L.Y.D.E.|1990|On an alien planet populated by mechanical lifeforms, a citizen named Clyde (Computer Linked Yield Driven Entity) is banished for developing a sense of humor, a concept frowned upon by the members of his world. He eventually crashes on Earth, where he is found by two children, Samantha and her brother Max, who install him into their father's jukebox. He reveals himself and befriends them, taking them on various adventures where they encounter technology that is malfunctioning or being used for evil purposes and set these wrongs right. 
C.O.P.S.|1988|Set in the year 2020, The Central Organization of Police Specialists (C.O.P.S.) is a special group of policemen with cyborg enhancements that strengthen each member's particular talents. Their mission is to fight crime in the metropolis of Empire City, with their main enemy being crimelord 'The Big Boss' and his goons. I've been watching C.O.P.S. ever since I was little,well...that stands for 'Central Organization of Police Specialist'.Then,there was Bulletproof(which was voiced by Ken Ryan),but,all he can do was to fight crime in a future time,at least one of 'em was Big Boss.And,boy,do I love that cartoon? 
CA Model: The Reality Show|2015|The CA Model Reality Show covers every step of the process of creating the next Chinese American Top Model. The show is a non-scripted narration of the whole journey of the selected models: through their auditions, training, the trip to China and Taiwan, photo shoots, rehearsals all the way to the Final Show at Terminal 5 in NYC. 
CARL|2017|CARL is a comedy sketch web series about man named Carl that has a fetish with sending inappropriate pictures to people. The series digs into intimate interviews on how he has destroyed, annoyed, entertained, and aroused his unsuspecting victims. 
CAT. 8|2013|A research program abandoned by the best solar physicist when the Pentagon wanted to put it to military use has been resumed by his former deputy. Her incompetence and the Defense secretary's haste cause it to be tested too soon, stirring unprecedented solar flares, ultimately a plasma causing disasters on all continents. Only the genius can think of a way out, only to be victimized by the secretary, who needs to cover up. Even when it turns out the earth's core has stopped spinning, spelling an unimaginable seismic apocalypse, the genius must still evade special forces to stay free and save the world again. 
CATALYST Series|2015|An aspiring filmmaker and social outcast, Max Montgomery (Terrence Edmonds), gains popularity when creating his entry film for college. But when a horrible freak accident on set claims the life of Queen Bee Julie Bordner, Max and his friends quickly realize their friend's death was no accident. Out of fear they decide to pretend it never happened. But secrets have a way of getting out. Now someone is taking on the persona of Max's fictional Ventriloquist killer to make them pay for their sins. Could it be Madison Sinclair (Bianca Magick), the girl who takes Julie's place in the social hierarchy? Bradley Roster, the emotionally unattached boyfriend? Or possibly famous actor Austin Gideon, Max's secret gay lover? Max must solve the mystery of who is to blame before he's set up to take the fall. How well do you know your friends? Murder knocks out the competition in this high tension, suspense thriller. 
CAWL to Arms|2014|CAWL TO ARMS is a brand new, unique, action-packed, adrenaline-inducing Co-Ed sport in which teams of students from rival schools around the country face one another in exciting and grueling matches to find the most powerful male and female collegiate arm wrestlers in America! The winning team will be named the inaugural 2014 CAWL TO ARMS GRAND CHAMPIONS...and split $10,000 in cash! Throughout the competition, team members' classmates will be on the sidelines screaming for their favorite students as they pump up intensity levels to extreme proportions. Long-held rivalries will reignite and school spirit will be abundant...getting each student's competitive juices flowing to the max during all of the explosive action! This one-of-a-kind, hard-hitting College Arm Wrestling show will feature four teams with four members on each team (2 males and 2 females) as they go head-to-head (and arm-to-arm) with team members from rival schools. Each of the teams will be a part of the new College Arm Wrestling League (also known as the new CAWL). The CAWL will crown a new winning team on an annual basis. The inaugural season will consist of 3 episodes...the first two episodes will be the preliminary rounds and Episode 3 will be the FINALS! 
